,Final Examples
0,부산 날씨 어때?
1,부산 날씨 알려줘
2,부산 관광지 알려줘
3,부산 관광지 어디야?
4,부산 놀만한곳 추천해줘
5,부산 숙소 알려줘
6,부산 숙소 추천 좀
7,부산 맛집 알려줘
8,부산 맛집 추천해줘
9,부산 맛집 어디야?
10,안녕
11,반가워
12,부산은 어디가 좋아?
13,부산 활동 추천해줘
14,부산 액티비티 알려줘
15,부산 카페 추천해줘
16,부산 카페 알려줘
17,부산 날씨 
18,부산 날씨 알려주세요
19,부산 날씨 알려줄 수 있나요?
20,부산 날씨 부탁드려요
21,부산 날씨 부탁해
22,부산 날씨 부탁할게
23,부산 날씨 추천해주세요
24,부산 관광지 
25,부산 관광지 알려주세요
26,부산 관광지 알려줄 수 있나요?
27,부산 관광지 부탁드려요
28,부산 관광지 부탁해
29,부산 관광지 부탁할게
30,부산 관광지 추천해줘
31,부산 관광지 추천해주세요
32,부산 관광지 추천해 주실 수 있나요?
33,부산 놀만한곳 
34,부산 놀만한곳 알려주세요
35,부산 놀만한곳 알려줄 수 있나요?
36,부산 놀만한곳 알려줘
37,부산 놀만한곳 부탁드려요
38,부산 놀만한곳 부탁해
39,부산 놀만한곳 부탁할게
40,부산 놀만한곳 추천해주세요
41,부산 놀만한곳 추천해 주실 수 있나요?
42,부산 숙소 
43,부산 숙소 알려주세요
44,부산 숙소 알려줄 수 있나요?
45,부산 숙소 부탁드려요
46,부산 숙소 부탁해
47,부산 숙소 부탁할게
48,부산 숙소 추천해줘
49,부산 숙소 추천해주세요
50,부산 숙소 추천해 주실 수 있나요?
51,부산 맛집 
52,부산 맛집 알려주세요
53,부산 맛집 알려줄 수 있나요?
54,부산 맛집 부탁드려요
55,부산 맛집 부탁해
56,부산 맛집 부탁할게
57,부산 맛집 추천해주세요
58,부산 맛집 추천해 주실 수 있나요?
59,부산 활동 
60,부산 활동 알려주세요
61,부산 활동 알려줄 수 있나요?
62,부산 활동 알려줘
63,부산 활동 부탁드려요
64,부산 활동 부탁해
65,부산 활동 부탁할게
